2I,484,83,195110,386234
2I,484,84,171621,354018
2I,484,85,739850,1828032
2I,485,0,1860701,1777165
2I,485,1,1788312,1705072
2I,485,2,1817475,1736941
2I,485,3,1810909,1731162
2I,485,4,1822584,1740069
2I,485,5,1784990,1707467
2I,485,6,1715215,1637985
2I,485,7,1714545,1636046
2I,485,8,1610816,1533914
2I,485,9,1655629,1575616
2I,485,10,1689076,1600340
2I,485,11,1631417,1555637
2I,485,12,1680232,1606894
2I,485,13,1810088,1732845
2I,485,14,1959990,1866598
2I,485,15,1917326,1830144
2I,485,16,1873991,1786162
2I,485,17,1868075,1773744
2I,485,18,1878228,1816891
2I,485,19,2018916,1972341
2I,485,20,2122837,2080152
2I,485,21,2140119,2092876
2I,485,22,2124461,2087965
2I,485,23,2156360,2130637
2I,485,24,2207943,2185555
2I,485,25,2196998,2179200
2I,485,26,2175120,2170960
2I,485,27,2205595,2200823
2I,485,28,2059890,2060336
2I,485,29,2189354,2191207
2I,485,30,2115878,2127543
2I,485,31,2001292,2029450
2I,485,32,1968238,1998029
2I,485,33,1908077,1948838
2I,485,34,1879310,1905913
2I,485,35,1833139,1872559
2I,485,36,1774484,1827200
2I,485,37,1817673,1879265
2I,485,38,1742344,1796576
2I,485,39,1429601,1473324
2I,485,40,1444063,1495158
2I,485,41,1430233,1484363
2I,485,42,1456524,1503884
2I,485,43,1290960,1347310
2I,485,44,1242164,1287856
2I,485,45,1172886,1221211
2I,485,46,1167865,1221385
2I,485,47,1151974,1208377
2I,485,48,1038973,1089937
2I,485,49,1114716,1167751
2I,485,50,1106416,1174575
2I,485,51,999759,1059448
2I,485,52,1013636,1086291
2I,485,53,1051669,1129883
2I,485,54,1095236,1187869
2I,485,55,1076539,1161004
2I,485,56,1072766,1179746
2I,485,57,1114698,1229535
2I,485,58,1020180,1151825
2I,485,59,1048777,1192227
2I,485,60,1063461,1226177
2I,485,61,1025883,1180327
2I,485,62,968762,1125625
2I,485,63,1022003,1173042
2I,485,64,981448,1144655
2I,485,65,910995,1085760
2I,485,66,859069,1041721
2I,485,67,861152,1054317
2I,485,68,776016,984540
2I,485,69,748856,971800
2I,485,70,707398,937908
2I,485,71,672887,909693
2I,485,72,626965,865424
2I,485,73,585156,825316
2I,485,74,554577,807265
2I,485,75,511463,761760
2I,485,76,461464,712288
2I,485,77,419671,674009
2I,485,78,378680,626562
2I,485,79,340942,585146
2I,485,80,295482,527794
2I,485,81,256606,478361
2I,485,82,225108,430811
2I,485,83,199801,397015
2I,485,84,175194,362838
2I,485,85,753414,1883982
2I,486,0,1896299,1807016
2I,486,1,1814233,1732342
2I,486,2,1793304,1711467
2I,486,3,1831870,1751439
2I,486,4,1833980,1751531
2I,486,5,1823115,1739980
2I,486,6,1785990,1708226
2I,486,7,1732674,1653954
2I,486,8,1653995,1576318
2I,486,9,1695945,1613917
2I,486,10,1678127,1591423
2I,486,11,1663743,1581183
2I,486,12,1628218,1554441
2I,486,13,1692636,1620114
2I,486,14,1823180,1739947
2I,486,15,1977088,1882267
2I,486,16,1926755,1832401
2I,486,17,1903387,1803028
2I,486,18,1837371,1769285
2I,486,19,1964775,1921878
2I,486,20,2014743,1961409
2I,486,21,2094250,2044709
2I,486,22,2112282,2062500
2I,486,23,2118756,2087288
2I,486,24,2201351,2169339
2I,486,25,2208279,2187007
2I,486,26,2186468,2175244
2I,486,27,2195762,2189120
2I,486,28,2102625,2102064
2I,486,29,2245316,2235179
2I,486,30,2153365,2166833
2I,486,31,2062217,2081005
2I,486,32,2009413,2037943
2I,486,33,1945974,1987471
2I,486,34,1981026,2001768
2I,486,35,1855642,1891953
2I,486,36,1796640,1844364
2I,486,37,1786233,1841684
2I,486,38,1738750,1799865
2I,486,39,1884357,1924332
2I,486,40,1407229,1457933
2I,486,41,1402675,1453771
2I,486,42,1437080,1486576
2I,486,43,1449073,1505200
2I,486,44,1323747,1369782
2I,486,45,1219662,1268566
2I,486,46,1163857,1216001
2I,486,47,1178071,1234346
2I,486,48,1086807,1139073
2I,486,49,1114224,1163262
2I,486,50,1091210,1159035
2I,486,51,1070590,1133106
2I,486,52,992491,1055609
2I,486,53,1019185,1092622
2I,486,54,1058795,1146110
2I,486,55,1056710,1157406
2I,486,56,1075015,1162037
2I,486,57,1080705,1192614
2I,486,58,1046367,1162331
2I,486,59,1048442,1189203
2I,486,60,1021779,1181004
2I,486,61,1035957,1192237
2I,486,62,993660,1153824
2I,486,63,969647,1123844
2I,486,64,1021477,1195944
2I,486,65,949994,1125742
2I,486,66,877346,1057991
2I,486,67,846527,1041040
