32,4473514,2240727,2232787
33,4517773,2258435,2259338
34,4652799,2331538,2321261
35,4654056,2331793,2322263
36,4514294,2245481,2268813
37,4528726,2253811,2274915
38,4277767,2125376,2152391
39,4431380,2199991,2231389
40,4344400,2157688,2186712
41,4076306,2011644,2064662
42,4011242,1980441,2030801
43,3890187,1913332,1976855
44,3765743,1860326,1905417
45,3734953,1842288,1892665
46,3585406,1760268,1825138
47,3685377,1808142,1877235
48,3557283,1747817,1809466
49,2854433,1396657,1457776
50,2924183,1431023,1493160
51,2874185,1402632,1471553
52,2913835,1423113,1490722
53,2585432,1255012,1330420
54,2472158,1200509,1271649
55,2332005,1128091,1203914
56,2320979,1118730,1202249
57,2262473,1086993,1175480
58,2073585,993887,1079698
59,2133812,1020412,1113400
60,2143833,1018989,1124844
61,1925979,915253,1010726
62,1964636,925650,1038986
63,2020799,949184,1071615
64,2091963,972874,1119089
65,2061423,960113,1101310
66,2030957,930049,1100908
67,2070721,944491,1126230
68,1921796,861373,1060423
69,1893212,839277,1053935
70,1902081,834423,1067658
71,1808827,792072,1016755
72,1750975,760239,990736
73,1755526,756866,998660
74,1659178,706011,953167
75,1513539,630144,883395
76,1417718,582063,835655
77,1310051,525532,784519
78,1252363,494996,757367
79,1175042,452923,722119
80,1095675,410635,685040
81,977731,355969,621762
82,905828,322076,583752
83,789804,272062,517742
84,710736,233016,477720
85,3648066,1013786,2634280
0,3761856,1927229,1834627
1,3795933,1941175,1854758
2,3865461,1978455,1887006
3,3952344,2024229,1928115
4,4087755,2089716,1998039
5,4128842,2114670,2014172
6,4041199,2068767,1972432
7,3926068,2009459,1916609
8,3791065,1939893,1851172
9,3861041,1978107,1882934
10,3932216,2017382,1914834
11,3840197,1965884,1874313
12,3811906,1952529,1859377
13,3894294,1993516,1900778
14,3881197,1990952,1890245
15,3899051,2004060,1894991
16,3829185,1973415,1855770
17,3705360,1915732,1789628
18,3660711,1878562,1782149
19,3686978,1883802,1803176
20,3596377,1839635,1756742
21,3553629,1816751,1736878
22,3434631,1751562,1683069
23,3529577,1792902,1736675
24,3823710,1935237,1888473
25,4126310,2084257,2042053
26,3969614,1998174,1971440
27,3936899,1982434,1954465
28,3777379,1900212,1877167
29,4027999,2021402,2006597
30,4204141,2116809,2087332
31,4293328,2150628,2142700
32,4449164,2231220,2217944
33,4453778,2227411,2226367
34,4636318,2326024,2310294
35,4706647,2357939,2348708
36,4560143,2271830,2288313
37,4525295,2250944,2274351
38,4405433,2189774,2215659
39,4512026,2243416,2268610
40,4439798,2205041,2234757
41,4195230,2074018,2121212
42,4110163,2029779,2080384
43,3981270,1957786,2023484
44,3952678,1953106,1999572
45,3785423,1867320,1918103
46,3635129,1784846,1850283
